longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.576-73.961,40.576,Brooklyn,Brighton Beach,Private room,60,1,18,2019,2.78,2,343,5,10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.576-73.961,40.576,Brooklyn,Brighton Beach,Shared room,35,1,34,2019,1.01,3,343,5,10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.576-73.961,40.576,Brooklyn,Brighton Beach,Private room,38,3,16,2019,1.38,2,175,5,10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.577-73.96,40.577,Brooklyn,Brighton Beach,Private room,75,1,127,2019,2.54,2,247,81,10308,3,1,1,0,1,0,1,0,0,1,0,3,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
40.577-73.96,40.577,Brooklyn,Brighton Beach,Private room,45,1,5,2019,1.18,2,351,81,10308,3,1,1,0,0,0,1,1,1,2,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40.578-73.959,40.578,Brooklyn,Brighton Beach,Private room,80,3,0,2019,0,2,350,21,10308,0,1,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
40.597-73.977,40.597,Brooklyn,Gravesend,Entire home/apt,99,2,3,2019,3,3,97,67,10308,3,0,1,0,2,0,5,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.598-73.961,40.598,Brooklyn,Sheepshead Bay,Private room,50,5,40,2019,1.57,1,321,12,10308,2,1,0,0,2,0,2,0,0,2,0,1,1,0,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
40.616-74.034,40.616,Brooklyn,Fort Hamilton,Private room,120,2,9,2019,0.23,2,365,41,11223,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.618-74.03,40.618,Brooklyn,Fort Hamilton,Private room,30,3,23,2019,0.66,4,211,19,11223,2,0,1,0,3,0,0,1,0,4,1,1,0,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0
40.623-74.025,40.623,Brooklyn,Bay Ridge,Private room,55,1,1,2016,0.02,1,0,57,11223,3,0,1,0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
40.631-74.028,40.631,Brooklyn,Bay Ridge,Entire home/apt,125,5,0,2019,0,2,213,32,11230,3,0,5,0,1,0,3,0,0,4,0,1,7,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
40.632-73.934,40.632,Brooklyn,Flatlands,Private room,45,8,10,2018,0.7,1,85,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40.632-73.934,40.632,Brooklyn,Flatlands,Private room,45,7,0,2019,0,1,83,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.633-74.027,40.633,Brooklyn,Bay Ridge,Private room,60,2,20,2017,0.44,1,363,23,11234,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.633-74.027,40.633,Brooklyn,Bay Ridge,Entire home/apt,60,30,0,2019,0,1,0,23,11234,2,1,1,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.633-74.027,40.633,Brooklyn,Bay Ridge,Entire home/apt,595,1,4,2019,4,1,57,24,11234,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
